class_year,student_id,major1,major2,gender,fed_group,intern,research,service,career_related,job_field
2020,00008,PHY,n/a,F,international,TRUE,TRUE,TRUE,moderately,business admin/management
2020,00016,ENG,n/a,F,international,TRUE,TRUE,TRUE,completely,business admin/management
2020,00043,IND,n/a,F,white,TRUE,FALSE,TRUE,moderately,business admin/management
2020,00001,ENG,n/a,M,two+,FALSE,FALSE,TRUE,moderately,communications/media
2020,00019,ARTH,n/a,F,white,FALSE,TRUE,TRUE,moderately,communications/media
2020,00051,CSC,n/a,M,hispanic,FALSE,FALSE,TRUE,slightly,communications/media
2020,00089,GWSS,n/a,M,white,TRUE,FALSE,FALSE,moderately,communications/media
2020,00090,CHM,n/a,F,black/afamer,FALSE,TRUE,TRUE,moderately,communications/media
2020,00003,CSC,POL,M,black/afamer,FALSE,TRUE,TRUE,moderately,computing/technology
2020,00010,POL,n/a,M,white,FALSE,FALSE,TRUE,moderately,computing/technology
2020,00013,BCM,n/a,F,hispanic,FALSE,TRUE,FALSE,slightly,computing/technology
2020,00037,ARTS,n/a,F,unknown,FALSE,FALSE,TRUE,slightly,computing/technology
2020,00057,SOC,n/a,F,white,TRUE,FALSE,TRUE,slightly,computing/technology
2020,00061,PSY,n/a,M,white,FALSE,FALSE,FALSE,not at all,computing/technology
2020,00072,FRN,BIO,M,black/afamer,FALSE,TRUE,TRUE,moderately,computing/technology
2020,00074,ECN,n/a,F,white,TRUE,TRUE,TRUE,completely,computing/technology
2020,00099,ECN,n/a,M,asian-amer,FALSE,FALSE,TRUE,moderately,computing/technology
2020,00023,ECN,n/a,M,international,TRUE,TRUE,TRUE,moderately,consulting
2020,00077,ANT,ECN,F,white,TRUE,FALSE,TRUE,completely,consulting
2020,00004,ECN,BCM,F,asian-amer,TRUE,FALSE,FALSE,slightly,creative/performing arts
2020,00012,PHY,n/a,M,white,FALSE,TRUE,TRUE,slightly,creative/performing arts
2020,00029,ARTH,n/a,M,two+,FALSE,TRUE,TRUE,moderately,creative/performing arts
2020,00058,CSC,n/a,M,two+,TRUE,TRUE,FALSE,moderately,creative/performing arts
2020,00066,POL,CHM,F,white,TRUE,TRUE,TRUE,slightly,creative/performing arts
2020,00087,PHY,n/a,F,white,TRUE,FALSE,TRUE,slightly,creative/performing arts
2020,00100,POL,n/a,F,unknown,FALSE,FALSE,FALSE,moderately,creative/performing arts
2020,00056,BCM,n/a,M,white,FALSE,TRUE,FALSE,moderately,data science/analytics
2020,00007,POL,REL,M,black/afamer,TRUE,FALSE,TRUE,completely,education
2020,00009,PSY,n/a,F,white,TRUE,FALSE,FALSE,slightly,education
