class_year,student_id,major1,major2,gender,fed_group,intern,research,service,career_related,job_field,FDS_cat,gs_select,gs_level,gs_type
2020,8,PHY,n/a,F,international,TRUE,TRUE,TRUE,moderately,business admin/management,conted,TRUE,doctoral,science
2020,16,ENG,n/a,F,international,TRUE,TRUE,TRUE,completely,business admin/management,employ,TRUE,master,humanities
2020,43,IND,n/a,F,white,TRUE,FALSE,TRUE,moderately,business admin/management,fellow,TRUE,master,professional
2020,1,ENG,n/a,M,two+,FALSE,FALSE,TRUE,moderately,communications/media,gradsch,TRUE,master,humanities
2020,19,ARTH,n/a,F,white,FALSE,TRUE,TRUE,moderately,communications/media,service,FALSE,N/A,N/A
2020,51,CSC,n/a,M,hispanic,FALSE,FALSE,TRUE,slightly,communications/media,other/seek,FALSE,N/A,N/A
2020,89,GWSS,n/a,M,white,TRUE,FALSE,FALSE,moderately,communications/media,gradsch,TRUE,doctoral,social science
2020,90,CHM,n/a,F,black/afamer,FALSE,TRUE,TRUE,moderately,communications/media,employ,FALSE,N/A,N/A
2020,3,CSC,POL,M,black/afamer,FALSE,TRUE,TRUE,moderately,computing/technology,employ,FALSE,N/A,N/A
2020,10,POL,n/a,M,white,FALSE,FALSE,TRUE,moderately,computing/technology,employ,FALSE,N/A,N/A
2020,13,BCM,n/a,F,hispanic,FALSE,TRUE,FALSE,slightly,computing/technology,fellow,TRUE,master,science
2020,37,ARTS,n/a,F,unknown,FALSE,FALSE,TRUE,slightly,computing/technology,other/seek,FALSE,N/A,N/A
2020,57,SOC,n/a,F,white,TRUE,FALSE,TRUE,slightly,computing/technology,service,unknown,N/A,N/A
2020,61,PSY,n/a,M,white,FALSE,FALSE,FALSE,not at all,computing/technology,conted,FALSE,N/A,N/A
2020,72,FRN,BIO,M,black/afamer,FALSE,TRUE,TRUE,moderately,computing/technology,conted,FALSE,N/A,N/A
2020,74,ECN,n/a,F,white,TRUE,TRUE,TRUE,completely,computing/technology,gradsch,TRUE,master,science
2020,99,ECN,n/a,M,asian-amer,FALSE,FALSE,TRUE,moderately,computing/technology,employ,FALSE,N/A,N/A
2020,23,ECN,n/a,M,international,TRUE,TRUE,TRUE,moderately,consulting,employ,FALSE,N/A,N/A
2020,77,ANT,ECN,F,white,TRUE,FALSE,TRUE,completely,consulting,service,FALSE,N/A,N/A
2020,4,ECN,BCM,F,asian-amer,TRUE,FALSE,FALSE,slightly,creative/performing arts,gradsch,TRUE,doctoral,social science
2020,12,PHY,n/a,M,white,FALSE,TRUE,TRUE,slightly,creative/performing arts,service,FALSE,N/A,N/A
2020,29,ARTH,n/a,M,two+,FALSE,TRUE,TRUE,moderately,creative/performing arts,employ,TRUE,doctoral,humanities
2020,58,CSC,n/a,M,two+,TRUE,TRUE,FALSE,moderately,creative/performing arts,employ,FALSE,N/A,N/A
2020,66,POL,CHM,F,white,TRUE,TRUE,TRUE,slightly,creative/performing arts,employ,FALSE,N/A,N/A
2020,87,PHY,n/a,F,white,TRUE,FALSE,TRUE,slightly,creative/performing arts,gradsch,TRUE,master,science
2020,100,POL,n/a,F,unknown,FALSE,FALSE,FALSE,moderately,creative/performing arts,employ,FALSE,N/A,N/A
2020,56,BCM,n/a,M,white,FALSE,TRUE,FALSE,moderately,data science/analytics,employ,unknown,N/A,N/A
2020,7,POL,REL,M,black/afamer,TRUE,FALSE,TRUE,completely,education,service,TRUE,master,social science
2020,9,PSY,n/a,F,white,TRUE,FALSE,FALSE,slightly,education,employ,FALSE,N/A,N/A
2020,15,BIO,CSC,M,two+,FALSE,TRUE,FALSE,moderately,education,other/seek,FALSE,N/A,N/A
2020,17,POL,RUS,M,hispanic,TRUE,TRUE,FALSE,moderately,education,other/seek,FALSE,N/A,N/A
2020,24,MAT,n/a,F,white,TRUE,TRUE,TRUE,moderately,education,conted,FALSE,N/A,N/A
2020,31,ECN,n/a,M,white,TRUE,FALSE,FALSE,slightly,education,gradsch,TRUE,master,professional
2020,32,POL,ECN,F,hispanic,FALSE,TRUE,FALSE,slightly,education,employ,FALSE,N/A,N/A
2020,33,ARTH,n/a,M,international,FALSE,TRUE,FALSE,completely,education,employ,TRUE,master,humanities
2020,34,POL,n/a,M,hispanic,TRUE,FALSE,TRUE,moderately,education,fellow,TRUE,master,social science
2020,36,SOC,GRM,M,white,FALSE,FALSE,TRUE,moderately,education,employ,FALSE,N/A,N/A
2020,38,ECN,PHI,F,white,TRUE,TRUE,TRUE,slightly,education,gradsch,TRUE,doctoral,science
2020,39,ECN,n/a,M,white,TRUE,TRUE,FALSE,moderately,education,gradsch,TRUE,master,science
2020,44,MAT,PHY,M,white,TRUE,TRUE,FALSE,slightly,education,employ,FALSE,N/A,N/A
2020,67,PSY,n/a,F,white,TRUE,TRUE,TRUE,slightly,education,employ,unknown,N/A,N/A
2020,68,CHM,SPN,M,white,FALSE,TRUE,TRUE,moderately,education,employ,FALSE,N/A,N/A
2020,69,SOC,FRN,F,white,TRUE,TRUE,TRUE,moderately,education,service,FALSE,N/A,N/A
2020,73,POL,FRN,M,hispanic,TRUE,FALSE,TRUE,moderately,education,employ,FALSE,N/A,N/A
2020,80,CSC,n/a,F,unknown,TRUE,TRUE,TRUE,slightly,education,gradsch,TRUE,doctoral,science
2020,83,PHY,n/a,M,two+,FALSE,FALSE,TRUE,slightly,education,gradsch,TRUE,master,science
2020,86,PHY,n/a,M,white,FALSE,FALSE,TRUE,moderately,education,employ,FALSE,N/A,N/A
2020,91,BIO,POL,F,white,FALSE,FALSE,TRUE,slightly,education,employ,FALSE,N/A,N/A
2020,92,PHI,n/a,M,white,FALSE,TRUE,TRUE,moderately,education,employ,FALSE,N/A,N/A
2020,94,HIS,n/a,F,asian-amer,TRUE,TRUE,TRUE,slightly,education,service,TRUE,master,social science
2020,20,FRN,n/a,F,international,FALSE,TRUE,FALSE,completely,finance,fellow,FALSE,N/A,N/A
2020,53,ECN,n/a,M,unknown,FALSE,TRUE,FALSE,moderately,finance,employ,FALSE,N/A,N/A
2020,71,ECN,n/a,M,white,FALSE,FALSE,FALSE,moderately,finance,service,FALSE,N/A,N/A
2020,76,PHY,n/a,F,white,TRUE,TRUE,FALSE,slightly,finance,gradsch,TRUE,master,science
2020,2,BIO,n/a,F,white,TRUE,FALSE,TRUE,slightly,computing/technology,service,FALSE,N/A,N/A
2020,21,ECN,n/a,F,white,FALSE,TRUE,TRUE,slightly,research/science,employ,FALSE,N/A,N/A
2020,26,BIO,n/a,M,asian-amer,TRUE,TRUE,TRUE,moderately,social services,employ,FALSE,N/A,N/A
2020,60,SOC,SPN,F,white,FALSE,TRUE,FALSE,moderately,business admin/management,employ,FALSE,N/A,N/A
2020,62,BIO,n/a,M,international,TRUE,TRUE,FALSE,moderately,creative/performing arts,gradsch,TRUE,master,science
2020,70,ARTS,n/a,F,white,FALSE,FALSE,FALSE,completely,computing/technology,employ,FALSE,N/A,N/A
2020,84,POL,n/a,F,white,TRUE,FALSE,FALSE,moderately,law/legal services,employ,FALSE,N/A,N/A
